plant_id,part_id,part_category,readiness_count,available_unit_count,buildable_unit_count,readiness_status
1234,ABC-000006-87455062,Component,3656.0,3656.0,,
1234,ABC-000006-C44B3F8F,Component,5386.0,5386.0,,
1234,ABC-000006-x,Component,8306.0,8306.0,,
1234,ABC-000053-7BDF7681,Component,914.0,914.0,,
1234,ABC-000147-285157AC,Component,29.0,29.0,,
1234,ABC-000147-C63528A5,Component,66.0,66.0,,
1234,ABC-000300-3EDEA851,Component,1244.0,1244.0,,
1234,ABC-000300-7BDF7681,Component,1881.0,1881.0,,
1234,ABC-000300-87455062,Component,15.0,15.0,,
1234,ABC-000300-F9722A9A,Component,432.0,432.0,,
1234,ABC-410-E93E3B39,Component,1858.0,1858.0,,
1234,ABC-520-1AD38773,Component,0.0,0.0,,
1234,ABC-520-4DD12271,Component,56.0,56.0,,
1234,ABC-520-8AB47B31,Component,680.0,680.0,,
1234,ABC-520-A85763C7,Component,89.0,89.0,,
1234,ABC-520-E720A369,Component,636.0,636.0,,
1234,ABC-710-2D1B5B35,Component,13.0,13.0,,
1234,ABC-710-D4C518B0,Assembly,3248.0,2.0,3246.0,At High Target
1234,ABC-710-EE10EF49,Component,16.0,16.0,,
1234,ABC-710-FDE2A4C6,Assembly,290.0,0.0,290.0,At High Target
1234,ABC-735-3044D692,Assembly,4.0,0.0,4.0,Below Target
1234,ABC-740-32C5898F,Component,85.0,85.0,,
1234,ABC-910-3359D4EA,Assembly,89.0,0.0,89.0,At High Target
1234,ABC-910-3412CBA3,Assembly,0.0,0.0,0.0,Below Target
1234,ABC-910-C0C20327,Assembly,0.0,0.0,0.0,Below Target
1234,ABC-920-E667B536,Assembly,1895.0,1875.0,20.0,At High Target
1234,ABC-920-F5FF552B,Assembly,998.0,325.0,673.0,At High Target
1234,ABC-000016-BBA5625F,Component,5555.0,5555.0,,
1234,ABC-000163-285157AC,Component,222.0,222.0,,
1234,ABC-000164-285157AC,Component,148.0,148.0,,
1234,ABC-410-57DFA2A0,Component,1.0,1.0,,
1234,ABC-410-59E410C7,Component,7859.0,7859.0,,
1234,ABC-410-81C1D4C0,Component,227.0,227.0,,
1234,ABC-410-F22C976B,Component,312.0,312.0,,
1234,ABC-520-16E0C76B,Component,117.0,117.0,,
1234,ABC-520-67D36E0C,Component,49.0,49.0,,
1234,ABC-520-A1C0344F,Component,291.0,291.0,,
1234,ABC-520-A79EC1C8,Component,8268.0,8268.0,,
1234,ABC-520-A9B73E0C,Component,114.0,114.0,,
1234,ABC-520-FC1E3289,Component,1025.0,1025.0,,
1234,ABC-710-8A11AEE0,Component,24.0,24.0,,
1234,ABC-710-F8E322EC,Component,19.0,19.0,,
1234,ABC-720-DAE6F640,Assembly,915.0,1.0,914.0,At High Target
1234,ABC-740-179FF2FE,Component,2122.0,2122.0,,
1234,ABC-740-54F6C293,Component,5434.0,5434.0,,
1234,ABC-740-CAC6F84D,Component,28.0,28.0,,
1234,ABC-745-47926045,Assembly,3820.0,0.0,3820.0,At High Target
1234,ABC-745-8B283539,Assembly,0.0,0.0,0.0,Below Target
1234,ABC-8634F356-x,Component,25305.0,25305.0,,
1234,ABC-910-119B019B,Assembly,4.0,0.0,4.0,Below Target
1234,ABC-910-71F976F3,Assembly,4.0,0.0,4.0,Below Target
1234,ABC-910-CFBCB12B,Assembly,1.0,1.0,0.0,Below Target
1234,ABC-910-DF458CBC,Assembly,2.0,0.0,2.0,Below Target
1234,ABC-910-F457B219,Assembly,22.0,0.0,22.0,At Low Target
1234,ABC-920-BB8B09AD,Assembly,4610.0,541.0,4069.0,At High Target
1234,ABC-000003-17F1F9BE,Component,9.0,9.0,,
1234,ABC-000003-285157AC,Component,8.0,8.0,,
1234,ABC-000016-6AC39B90,Component,909.0,909.0,,
1234,ABC-000017-6AC39B90,Component,12521.0,12521.0,,
1234,ABC-000025-0574B745,Component,23710.0,23710.0,,
1234,ABC-000025-FBDAD690,Component,141.0,141.0,,
1234,ABC-000026-285157AC,Component,13548.0,13548.0,,
1234,ABC-000026-E193A01E,Component,36.0,36.0,,
1234,ABC-000030-7A36B0AD,Component,28.0,28.0,,
1234,ABC-000049-x,Component,8077.0,8077.0,,
1234,ABC-000077-0574B745,Component,11.0,11.0,,
1234,ABC-000078-0574B745,Component,47.0,47.0,,
1234,ABC-000086-37B3E7BA,Component,39.0,39.0,,
1234,ABC-000086-FBDAD690,Component,85.0,85.0,,
1234,ABC-000090-24647271,Component,0.0,0.0,,
1234,ABC-000090-37B3E7BA,Component,593.0,593.0,,
1234,ABC-000091-FBDAD690,Component,34.0,34.0,,
1234,ABC-000092-19FFB103,Component,150.0,150.0,,
1234,ABC-000092-7A36B0AD,Component,112.0,112.0,,
1234,ABC-000094-480F9254,Component,12.0,12.0,,
1234,ABC-000094-D59FD58D,Component,124.0,124.0,,
1234,ABC-000094-F9722A9A,Component,983.0,983.0,,
1234,ABC-000098-3EDEA851,Component,2.0,2.0,,
1234,ABC-000099-87455062,Component,4943.0,4943.0,,
1234,ABC-000099-C44B3F8F,Component,79.0,79.0,,
1234,ABC-000099-F9722A9A,Component,3.0,3.0,,
1234,ABC-000099-x,Component,16.0,16.0,,
1234,ABC-000101-F218AC62,Component,963.0,963.0,,
